person,movie,expect,rating
0,106,1.0,
0,83,2.0,
0,72,0.0,
0,162,2.0,
0,18,1.0,
0,87,0.0,
0,25,2.0,
0,70,1.0,
0,128,1.0,
0,7,1.0,
0,126,1.0,
0,73,2.0,
0,92,2.0,
0,16,2.0,
0,14,0.0,
0,86,0.0,
0,127,1.0,
0,167,0.0,
0,15,0.0,
0,74,1.0,
0,56,2.0,
0,68,0.0,
0,51,1.0,
0,13,1.0,
0,82,2.0,
0,111,0.0,
0,80,0.0,
0,134,1.0,
0,148,0.0,
0,85,2.0,
0,39,1.0,
0,169,2.0,
0,84,2.0,
0,150,0.0,
0,75,0.0,
1,92,2.0,
1,93,2.0,
1,19,0.0,
1,94,2.0,
1,170,2.0,
1,148,2.0,
1,6,2.0,
1,4,2.0,
1,120,2.0,
1,57,1.0,
1,56,0.0,
1,101,2.0,
1,102,2.0,
1,129,0.0,
1,99,2.0,
1,78,2.0,
1,130,2.0,
1,158,1.0,
1,155,2.0,
1,115,1.0,
1,2,2.0,
1,34,1.0,
1,89,1.0,
1,60,0.0,
1,149,2.0,
1,64,1.0,
1,119,1.0,
1,5,1.0,
1,157,2.0,
1,156,1.0,
1,43,0.0,
1,70,2.0,
1,109,2.0,
1,12,0.0,
1,3,1.0,
1,58,0.0,
1,134,1.0,
2,6,1.0,
2,3,0.0,
2,38,0.0,
2,31,0.0,
2,5,1.0,
3,174,1.0,
3,18,0.0,
3,6,1.0,
3,25,0.0,
3,51,1.0,
3,14,2.0,
3,57,0.0,
3,49,1.0,
3,58,0.0,
3,15,0.0,
3,23,0.0,
3,4,1.0,
3,56,0.0,
4,48,1.0,
4,32,1.0,
4,190,0.0,
4,27,1.0,
4,101,0.0,
4,188,0.0,
4,30,1.0,
4,178,0.0,
4,112,0.0,
4,199,2.0,
4,195,0.0,
4,161,0.0,
4,180,0.0,
4,49,0.0,
4,13,2.0,
4,16,1.0,
4,194,0.0,
4,83,1.0,
4,196,0.0,
4,128,0.0,
4,42,0.0,
4,8,0.0,
4,182,1.0,
4,129,0.0,
4,104,0.0,
4,106,0.0,
4,91,0.0,
4,181,0.0,
4,124,1.0,
4,78,0.0,
4,110,0.0,
4,171,0.0,
4,60,2.0,
4,19,0.0,
4,18,1.0,
4,142,0.0,
4,150,0.0,
4,15,0.0,
4,193,0.0,
4,140,0.0,
4,58,1.0,
4,29,0.0,
4,130,0.0,
4,67,2.0,
4,12,0.0,
4,51,0.0,
4,172,0.0,
4,31,1.0,
4,54,0.0,
4,5,1.0,
4,88,2.0,
4,4,1.0,
4,179,1.0,
4,121,1.0,
4,6,0.0,
4,92,1.0,
4,44,1.0,
4,21,1.0,
4,116,0.0,
4,136,1.0,
4,175,0.0,
4,158,0.0,
4,143,1.0,
4,38,0.0,
4,74,0.0,
4,165,1.0,
4,68,0.0,
5,129,0.0,
5,25,1.0,
5,131,1.0,
5,78,1.0,
5,157,0.0,
5,130,2.0,
5,84,1.0,
5,27,2.0,
5,28,2.0,
5,175,0.0,
5,109,0.0,
5,79,2.0,
5,108,2.0,
5,154,1.0,
5,111,2.0,
5,103,2.0,
5,126,0.0,
5,42,2.0,
5,127,1.0,
5,87,1.0,
5,1,1.0,
5,101,1.0,
5,128,0.0,
